cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1472.A.2	1 Cor. 12:17			1	0		0			0			0		1	0	0	1	1	MC; A1; R1	Swanson.192	
1472.A.42	1 Cor. 12:27-28a	1		0	1	L	0			0			0		1	0	1	1	1	R1	NA28.543	
1472.A.8	1 Cor. 12:19			1	0		0			0			0		0	0	0	1	0			
1472.B.19	1 Cor. 12:31		1	1	0		1	3.5	2	1	E	5	0		1	1	0	1	1	R1;R1/A1	NA28.543	
1472.B.42	1 Cor. 13:4	1		0	1	L	0			0			0		1	0	0	1	1	A2	NA28.543	
1472.C.26	1 Cor. 13:11	1		0	1	L	0			0			0		0	0	0	1	1	T4;MC/R1	Swanson.207	
1472.C.29	1 Cor. 13:12			1	0		0			0			0		0	0	0	1	1	O2	Swanson.208	
1473.A.17	1 Cor. 14:5	1		0	1	L	0			0			0		0	0	0	1	1	A1;MC;A2	NA28.544	
1473.B.24	1 Cor. 14:16	1		0	1	L	0			0			0		1	0	0	1	1	MC;R1;O1	NA28.545	
1474.A.20	1 Cor. 14:33	1	0	0	1	L	1	5	3	0			0		1	0	1	1	1	O2;A1	Swanson.233	evaluated by Payne
1474.A.30	1 Cor. 14:35			1	0		0			0			0		0	0	0	1	1	A1	NA28.547	
1474.A.37	1 Cor. 14:37			1	0		0			0			0		0	0	0	1	1	R1	Swanson.236	
1474.B.34	1 Cor. 15:9			1	0		0			0			0		0	0	0	1	1	O1	Swanson.241	
1474.B.42	1 Cor. 15:10			1	0		0			0			0		0	0	0	1	1	MC; O1; T2	Swanson.243	
1474.C.37	1 Cor. 15:20	1		0	1	R	0			0			0		0	0	0	1	1	T3;A1	Swanson.249	
1475.A.32	1 Cor. 15:28-29		1	0	0		1	3.5	1.5	1	B	4	0		1	1	1	1	1	O1;R1	Swanson.254	
1475.A.40	1 Cor. 15:31			1	0		0			0			0		0	0	0	1	1	MC; O3	Swanson.255	
1475.B.3	1 Cor. 15:32	1		0	1	L	0			0			0		1	0	0	1	1	O3	Swanson.256	
1475.B.40	1 Cor. 15:41			1	0		0			0			0		0	0	0	1	1	A1; O1; O4; R1/T2	Swanson.261	
1475.C.13	1 Cor. 15:44	1		0	1	R	0			0			0		0	M	0	1	1	O4;A1	Swanson.263	
1475.C.24	1 Cor. 15:47			1	0		0			0			0		0	0	0	1	1	A1	Swanson.265	
1475.C.29	1 Cor. 15:48			1	0		0			0			0		0	0	0	1	1	R1; O8	Swanson.265	
1476.A.18	1 Cor. 15:54			1	0		0			0			0		0	0	0	1	0			
1476.A.2	1 Cor. 15:51-52			1	0		0			0			0		0	0	1	1	1	O19	Swanson.267-8	
1476.B.19	1 Cor. 16:6			1	0		0			0			0		0	0	0	1	1	R1/MC; A1/R1	NA28.552	
1476.B.31	1 Cor. 16:9	1		0	1	L	0			0			0		0	0	0	1	1	O3	Swanson.278	
1476.C.13	1 Cor. 16:15a			1	0		0			0			0		0	0	0	1	0			
1476.C.14	1 Cor. 16:15	1		0	1	L	0			0			0		0	0	0	1	1	A4	NA28.553	
1476.C.27	1 Cor. 16:17			1	0		0			0			0		0	0	0	1	1	R1	NA28.553	
1476.C.33	1 Cor. 16:19		1	0	0		1	4.5	2.5	0			0		1	0	0	1	1	O20	NA28.553	
1477.B.10	2 Cor. 1:2		1	0	0		1	3	1.5	0			1	6.5	1	1	0	0	0			
1477.B.22	2 Cor. 1:4	1		0	1	L	0			0			0		0	0	0	0	1	A1	NA28.554	
