cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1511.A.9	2 Thes. 2:4b			1	0		0			0			0		1	0	0	0	0			
1511.B.33	2 Thes. 2:17			1	0		0			0			0		0	0	0	0	0			
1511.B.8	2 Thes. 2:12		0	1	0		1	4.5	2.5	0			0		1	1	0	0	1	A1	NA28.632	
1511.C.28	2 Thes. 3:8	1		0	1	R	0			0			0		0	0	0	0	0			
1512.A.12	2 Thes. 3:12-13			1	0		0			0			0		1	0	1	0	0			
1512.A.27	2 Thes. 3:16	1		0	1	L	0			1	M	3	0		1	0	0	0	1	R1	NA28.634	
1512.A.32	2 Thes. 3:17-18			1	0		0			1	M	4.5	0		1	M	1	0	0			
1512.A.9	2 Thes. 3:12	1		0	1	L	0			0			0		1	0	0	0	1	R1;A2;O1	NA28.633	
1512.B.17	Heb. 1:3	1		0	1	R	0			0			0		0	0	0	0	1	A1;T4	NA28.657	
1513.A.33	Heb. 2:8			1	0		0			0			0		0	0	0	0	1	T2;A1	NA28.659	
1513.B.37	Heb. 2:15-16			1	0		0			0			0		1	0	1	0	0			
1513.C.10	Heb. 2:18-3:1		1	0	0		1	4	3	1	M	9	0		1	1	1	0	0			
1514.A.28	Heb. 3:13			1	0		0			0			0		1	0	0	0	0			
1514.B.12	Heb. 3:19	1		0	1	L	0			0			0		1	1	0	0	0			
1514.C.36	Heb. 4:12			1	0		0			0			0		0	0	0	0	0			
1515.B.37	Heb. 5:12			1	0		0			0			0		0	0	0	0	0			
1515.C.27	Heb. 6:4			1	0		0			0			0		0	0	0	0	0			
1516.A.16	Heb. 6:10	1		0	1	L	0			0			0		0	0	0	0	1	A3	NA28.665	
1516.C.11	Heb. 7:4			1	0		0			0			0		0	0	0	0	1	A1	NA28.666	
1516.C.32	Heb. 7:8			1	0		0			0			0		0	0	0	0	0			
1517.A.23	Heb. 7:14-15		1	0	0		1	4	1.5	1	B	2	0		1	0	1	0	0			
1517.A.9	Heb. 7:11			1	0		0			0			0		0	0	0	0	0			
1517.B.18	Heb. 7:24			1	0		0			0			0		0	0	0	0	0			
1517.B.23	Heb. 7:25	1		0	1	L	0			0			0		0	0	0	0	0			
1517.B.27	Heb. 7:26			1	0		0			0			0		0	0	0	0	1	O1	NA28.668	
1517.B.30	Heb. 7:26b			1	0		0			0			0		0	0	0	0	0			
1517.C.16	Heb. 8:2		0	1	0		1	3.5	1	0			0		1	M	0	0	1	A1	NA28.668	
1517.C.39	Heb. 8:6			1	0		0			0			0		0	0	0	0	0			
1518.B.1	Heb. 8:13			1	0		0			0			0		0	0	0	0	0			
1518.B.16	Heb. 9:3	1		0	1	L	0			0			0		0	0	0	0	0			
1518.C.23	Heb. 9:11			1	0		0			0			0		0	0	0	0	0			
1518.C.33	Heb. 9:13			1	0		0			0			0		0	0	0	0	0			
