cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_length	var_id	var_ref	notes
1243.A.12	Mt. 7:21-22	0	0	0	1	L	1	4.5	2.5	1	E	3	0		0	0	1	1	1	O	1	1243.A.12.a	NA28.18	evaluated by Payne
1243.A.12	Mt. 7:21-22	0	0	0	1	L	1	4.5	2.5	1	E	3	0		0	0	1	1	1	A	7	1243.A.12.b	NA28.18	evaluated by Payne
1243.C.40	Mt. 8:13	0	0	0	1	R	1	4.5	2.5	0			0		0	1	0	1	1	A	1	1243.C.40.a	NA28.21	evaluated by Payne
1243.C.40	Mt. 8:13	0	0	0	1	R	1	4.5	2.5	0			0		0	1	0	1	1	R	1	1243.C.40.b	NA28.21	evaluated by Payne
1243.C.40	Mt. 8:13	0	0	0	1	R	1	4.5	2.5	0			0		0	1	0	1	1	A	17	1243.C.40.c	NA28.21	evaluated by Payne
1253.B.13	Mt. 13:50-51	0	0	0	1	L	1	5	2.5	1	M	7	0		0	1	1	1	1	A	4	1253.B.13	NA28.42	evaluated by Payne
1267.C.31	Mt. 24:1-2	0	0	0	1	R	1	5	2	1	M	4.5	0		0	0	1	1	1	R	1	1267.C.31.i	Swanson.233	evaluated by Payne
1267.C.31	Mt. 24:1-2	0	0	0	1	R	1	5	2	1	M	4.5	0		0	0	1	1	1	O	1	1267.C.31.ii	Swanson.233	evaluated by Payne
1267.C.31	Mt. 24:1-2	0	0	0	1	R	1	5	2	1	M	4.5	0		0	0	1	1	1	A	1	1267.C.31.iii	Swanson.233	evaluated by Payne
1284.C.12	Mk. 5:40	0	0	0	1	L	1	4.5	3	1	M	3	0			0	0	1	1	R	1	1284.C.12.i	NA28.122	evaluated by Payne
1284.C.12	Mk. 5:40	0	0	0	1	L	1	4.5	3	1	M	3	0			0	0	1	1	A	1	1284.C.12.ii	NA28.122	evaluated by Payne
